id,category
1,Sporting Goods
2,Cleats
3,Shop By Sport
4,Women's Apparel
5,Electronics
6,Boxing & MMA
7,Cardio Equipment
8,Trade-In
9,Kids' Golf Clubs
10,Hunting & Shooting
11,Baseball & Softball
12,Men's Footwear
13,Camping & Hiking
14,Consumer Electronics
15,Cameras 
16,Computers
17,Basketball
18,Soccer
19,Girls' Apparel
20,Accessories
21,Women's Clothing
22,Crafts
23,Men's Clothing
24,Tennis & Racquet
25,Fitness Accessories
26,As Seen on  TV!
27,Golf Balls
28,Strength Training
29,Children's Clothing
30,Lacrosse
31,Baby 
32,Fishing
33,Books 
34,DVDs
35,CDs 
36,Garden
37,Hockey
38,Pet Supplies
39,Health and Beauty
40,Music
41,Video Games
42,Golf Gloves
43,Golf Bags & Carts
44,Golf Shoes
45,Golf Apparel
46,Women's Golf Clubs
47,Men's Golf Clubs
48,Toys
49,Water Sports
50,Indoor/Outdoor Games
