id,order_date,customer_id,region
77202,1/31/2018 22:56,20755,Southeast Asia
75939,1/13/2018 12:27,19492,South Asia
75938,1/13/2018 12:06,19491,South Asia
75937,1/13/2018 11:45,19490,Oceania
75936,1/13/2018 11:24,19489,Oceania
75935,1/13/2018 11:03,19488,Oceania
75934,1/13/2018 10:42,19487,Eastern Asia
75933,1/13/2018 10:21,19486,Eastern Asia
75932,1/13/2018 10:00,19485,Eastern Asia
75931,1/13/2018 9:39,19484,Eastern Asia
75930,1/13/2018 9:18,19483,Eastern Asia
75929,1/13/2018 8:57,19482,Southeast Asia
75928,1/13/2018 8:36,19481,Southeast Asia
75927,1/13/2018 8:15,19480,South Asia
75926,1/13/2018 7:54,19479,South Asia
75925,1/13/2018 7:33,19478,South Asia
75924,1/13/2018 7:12,19477,Eastern Asia
75923,1/13/2018 6:51,19476,South Asia
75922,1/13/2018 6:30,19475,South Asia
75921,1/13/2018 6:09,19474,South Asia
75920,1/13/2018 5:48,19473,South Asia
75919,1/13/2018 5:27,19472,South Asia
75918,1/13/2018 5:06,19471,Oceania
75917,1/13/2018 4:45,19470,Oceania
75916,1/13/2018 4:24,19469,Oceania
75915,1/13/2018 4:03,19468,Oceania
75914,1/13/2018 3:42,19467,Oceania
75913,1/13/2018 3:21,19466,Eastern Asia
75912,1/13/2018 3:00,19465,Eastern Asia
75911,1/13/2018 2:39,19464,Eastern Asia
75910,1/13/2018 2:18,19463,Eastern Asia
75909,1/13/2018 1:57,19462,South Asia
75908,1/13/2018 1:36,19461,South Asia
75907,1/13/2018 1:15,19460,Eastern Asia
75906,1/13/2018 0:54,19459,Eastern Asia
75905,1/13/2018 0:33,19458,Southeast Asia
75904,1/13/2018 0:12,19457,South Asia
75903,1/12/2018 23:51,19456,Oceania
75902,1/12/2018 23:30,19455,Oceania
75901,1/12/2018 23:09,19454,Oceania
75900,1/12/2018 22:48,19453,Southeast Asia
75899,1/12/2018 22:27,19452,Southeast Asia
75898,1/12/2018 22:05,19451,Southeast Asia
75897,1/12/2018 21:44,19450,Southeast Asia
75896,1/12/2018 21:23,19449,Oceania
75895,1/12/2018 21:02,19448,South Asia
75894,1/12/2018 20:41,19447,South Asia
75893,1/12/2018 20:20,19446,Eastern Asia
28744,2/24/2016 13:57,9083,South Asia
45461,10/25/2016 14:39,4741,West Asia
31115,3/30/2016 4:37,639,Oceania
45766,10/30/2016 1:31,9702,West Asia
47752,11/28/2016 1:18,9114,Eastern Asia
50054,12/31/2016 15:47,1362,West Asia
20365,10/25/2015 6:24,8011,South Asia
36146,6/11/2016 15:12,3296,West of USA 
41234,8/24/2016 21:45,3182,West of USA 
32090,4/13/2016 10:12,7864,West of USA 
34773,5/22/2016 14:10,11169,US Center 
44046,10/4/2016 22:55,5197,West Africa
46414,11/8/2016 12:32,1535,Central Africa
46599,11/11/2016 5:21,6122,West Africa
48434,12/8/2016 0:14,9451,North Africa
12827,7/7/2015 5:31,542,Western Europe
63936,7/22/2017 7:16,11329,Western Europe
65030,8/7/2017 6:33,3570,Western Europe
18108,9/22/2015 7:41,650,Western Europe
62571,7/2/2017 9:03,9353,Northern Europe
17162,9/8/2015 12:15,54,Northern Europe
65922,8/20/2017 7:03,12151,Western Europe
64813,8/4/2017 2:31,10018,Northern Europe
67892,9/18/2017 1:14,3182,Western Europe
12525,7/2/2015 19:42,4936,Western Europe
5895,3/28/2015 0:55,8707,Central America
56359,4/2/2017 16:43,1025,Central America
58613,5/5/2017 14:23,8831,Central America
7824,4/25/2015 4:44,10679,Caribbean
7814,4/25/2015 1:14,5007,South America
60807,6/6/2017 15:03,9854,Caribbean
53413,2/18/2017 16:36,376,South America
7888,4/26/2015 3:10,5417,Central America
6783,4/10/2015 0:02,10759,Central America
56973,4/11/2017 15:49,8541,South America
55155,3/16/2017 2:54,3752,Central America
5991,3/29/2015 10:33,4673,Central America
2263,2/3/2015 0:28,5367,Central America
53403,2/18/2017 13:05,10485,Central America
51298,1/18/2017 19:37,9272,South America
4919,3/13/2015 18:59,647,South America
52640,2/7/2017 9:47,6398,South America
6358,4/3/2015 19:08,4209,South America
57106,4/13/2017 14:25,8917,South America
6245,4/2/2015 3:33,7784,South America
52166,1/31/2017 11:43,1425,Caribbean
56172,3/30/2017 23:12,2737,Caribbean
55829,3/25/2017 23:02,6428,Caribbean
52478,2/5/2017 1:01,6543,Central America
57242,4/15/2017 14:04,3990,Central America
3137,2/15/2015 18:40,8524,Central America
60127,5/27/2017 16:48,9204,South America
3828,2/25/2015 20:46,11761,Central America
60386,5/31/2017 11:33,9554,South America
973,1/15/2015 4:32,5118,Caribbean
57999,4/26/2017 15:16,5506,Central America
54585,3/7/2017 19:12,1423,South America
57598,4/20/2017 18:47,138,Caribbean
54274,3/3/2017 6:14,6360,Central America
60673,6/4/2017 16:06,2053,Central America
59387,5/16/2017 21:33,10344,Central America
10007,5/27/2015 1:32,3375,South America
55984,3/28/2017 5:20,1339,Central America
58375,5/2/2017 3:00,3990,Central America
56448,4/3/2017 23:53,7247,Caribbean
8221,4/30/2015 23:49,1273,South America
58034,4/27/2017 3:32,6277,Central America
2203,2/2/2015 3:27,7701,Central America
53069,2/13/2017 16:05,4126,South America
60146,5/27/2017 23:28,9528,Central America
55409,3/19/2017 19:53,1853,South America
8678,5/7/2015 15:56,11149,Central America
7980,4/27/2015 11:23,5828,Central America
57185,4/14/2017 18:06,6887,Central America
8636,5/7/2015 1:13,4781,South America
61192,6/12/2017 5:55,10668,South America
55876,3/26/2017 15:30,5421,Central America
53331,2/17/2017 11:52,10200,Central America
51725,1/25/2017 1:13,11254,Central America
52562,2/6/2017 6:27,11106,South America
59754,5/22/2017 6:08,8456,Central America
53574,2/21/2017 1:00,6149,Central America
399,1/6/2015 19:26,1473,Central America
51050,1/15/2017 4:44,1840,Central Africa
45680,10/28/2016 19:23,6757,North Africa
42992,9/19/2016 13:39,3972,East Africa
41304,8/25/2016 22:16,9316,North Africa
44253,10/7/2016 23:26,11213,West Africa
46098,11/3/2016 21:49,3474,North Africa
71077,11/3/2017 13:05,14630,Southern Europe
69703,10/14/2017 11:42,13256,Western Europe
71112,11/4/2017 1:21,14665,Western Europe
69810,10/16/2017 1:12,13363,Western Europe
71092,11/3/2017 18:20,14645,Western Europe
69610,10/13/2017 3:08,13163,Southern Europe
71000,11/2/2017 10:06,14553,Western Europe
70734,10/29/2017 12:55,14287,Northern Europe
69626,10/13/2017 8:44,13179,Western Europe
69482,10/11/2017 6:17,13035,Western Europe
70769,10/30/2017 1:10,14322,Northern Europe
69643,10/13/2017 14:41,13196,Southern Europe
71051,11/3/2017 3:58,14604,Northern Europe
69408,10/10/2017 4:21,12961,Southern Europe
71123,11/4/2017 5:12,14676,Southern Europe
70534,10/26/2017 14:51,14087,Western Europe
69641,10/13/2017 13:59,13194,Southern Europe
70960,11/1/2017 20:05,14513,Western Europe
69908,10/17/2017 11:32,13461,Northern Europe
70957,11/1/2017 19:02,14510,Western Europe
69637,10/13/2017 12:35,13190,Western Europe
70955,11/1/2017 18:20,14508,Northern Europe
70919,11/1/2017 5:44,14472,Southern Europe
71009,11/2/2017 13:15,14562,Western Europe
69653,10/13/2017 18:11,13206,Northern Europe
69527,10/11/2017 22:03,13080,Southern Europe
71080,11/3/2017 14:08,14633,Western Europe
70544,10/26/2017 18:21,14097,Northern Europe
69471,10/11/2017 2:26,13024,Northern Europe
68879,10/2/2017 11:01,778,Western Europe
67214,9/8/2017 3:42,7146,Southern Europe
17810,9/17/2015 23:17,6365,Northern Europe
18793,10/2/2015 7:40,8422,Northern Europe
65109,8/8/2017 10:13,8524,Western Europe
15673,8/17/2015 18:35,3784,Northern Europe
18183,9/23/2015 9:57,10519,Western Europe
20234,10/23/2015 8:31,7132,Western Europe
13139,7/11/2015 18:49,3709,Western Europe
33824,5/8/2016 17:42,1509,US Center 
31364,4/2/2016 19:51,1636,West of USA 
40495,8/14/2016 2:51,2784,West of USA 
34506,5/18/2016 16:38,9174,West of USA 
33607,5/5/2016 13:40,122,West of USA 
32617,4/21/2016 2:50,3800,East of USA
37496,7/1/2016 8:10,10029,US Center 
49075,12/17/2016 8:48,2805,Canada
41623,8/30/2016 14:02,12253,Canada
39271,7/27/2016 6:01,3528,East of USA
38598,7/17/2016 10:14,11018,US Center 
37845,7/6/2016 10:26,3222,US Center 
42331,9/9/2016 22:05,6246,East Africa
41345,8/26/2016 12:38,8741,North Africa
51168,1/16/2017 22:04,8050,West Africa
43599,9/28/2016 10:19,5474,North Africa
41901,9/3/2016 15:26,474,West Africa
42751,9/16/2016 1:13,12255,East Africa
45088,10/20/2016 3:59,10288,North Africa
50489,1/7/2017 0:11,4717,North Africa
44409,10/10/2016 6:06,4799,West Africa
42101,9/6/2016 13:30,4533,North Africa
50424,1/6/2017 1:25,12383,North Africa
49825,12/28/2016 7:33,3518,West Africa
41294,8/25/2016 18:46,4674,North Africa
42023,9/5/2016 10:10,8519,West Africa
47774,11/28/2016 9:00,5302,North Africa
41827,9/2/2016 13:30,3594,Southern Africa
47193,11/19/2016 21:27,9890,North Africa
42626,9/14/2016 5:26,1410,North Africa
46199,11/5/2016 9:13,7521,West Africa
48468,12/8/2016 12:08,2106,West Africa
51009,1/14/2017 14:22,8144,East Africa
46229,11/5/2016 19:43,5643,Southern Africa
42882,9/17/2016 23:07,2041,East Africa
46827,11/14/2016 13:14,7537,East Africa
48684,12/11/2016 15:49,3056,East Africa
46416,11/8/2016 13:14,7967,North Africa
47343,11/22/2016 2:00,1758,Southern Africa
41686,8/31/2016 12:06,7884,West Asia
41896,9/3/2016 13:41,289,West Asia
28168,2/16/2016 4:09,10081,Oceania
24992,12/31/2015 19:27,1169,Oceania
30851,3/26/2016 8:07,1182,Oceania
25074,1/2/2016 0:11,717,Oceania
76870,1/27/2018 2:38,20423,Oceania
25163,1/3/2016 7:22,5801,South Asia
28036,2/14/2016 5:54,702,South Asia
22679,11/28/2015 1:06,6951,Southeast Asia
23610,12/11/2015 15:17,6780,Southeast Asia
42828,9/17/2016 4:12,6422,West Asia
48713,12/12/2016 1:59,5384,West Asia
45668,10/28/2016 15:11,2985,West Asia
74796,12/27/2017 20:01,18349,Eastern Asia
27918,2/12/2016 12:34,11286,Eastern Asia
30097,3/15/2016 7:58,489,Oceania
