id,order_id,shipping_mode,delivery_days,status
1,77202,Standard Class,3,Advance shipping
2,75939,Standard Class,5,Late delivery
3,75938,Standard Class,4,Shipping on time
4,75937,Standard Class,3,Advance shipping
5,75936,Standard Class,2,Advance shipping
6,75935,Standard Class,6,Shipping canceled
7,75934,First Class,2,Late delivery
8,75933,First Class,2,Late delivery
9,75932,Second Class,3,Late delivery
10,75931,First Class,2,Late delivery
11,75930,Second Class,6,Shipping canceled
12,75929,Second Class,5,Late delivery
13,75928,Second Class,4,Late delivery
14,75927,First Class,2,Late delivery
15,75926,First Class,2,Late delivery
16,75925,First Class,2,Late delivery
17,75924,Second Class,5,Late delivery
18,75923,First Class,2,Late delivery
19,75922,First Class,2,Late delivery
20,75921,Same Day,0,Shipping on time
21,75920,Same Day,0,Shipping on time
22,75919,Standard Class,5,Late delivery
23,75918,Second Class,4,Late delivery
24,75917,Second Class,3,Shipping canceled
25,75916,Second Class,2,Shipping canceled
26,75915,Second Class,6,Late delivery
27,75914,Second Class,5,Late delivery
28,75913,Standard Class,4,Shipping on time
29,75912,Standard Class,3,Advance shipping
30,75911,Standard Class,2,Advance shipping
31,75910,Standard Class,6,Late delivery
32,75909,Standard Class,5,Late delivery
33,75908,Standard Class,4,Shipping on time
34,75907,First Class,2,Late delivery
35,75906,First Class,2,Late delivery
36,75905,First Class,2,Late delivery
37,75904,First Class,2,Late delivery
38,75903,First Class,2,Late delivery
39,75902,Same Day,1,Late delivery
40,75901,Same Day,1,Shipping canceled
41,75900,Same Day,1,Late delivery
42,75899,Same Day,1,Late delivery
43,75898,Standard Class,4,Shipping on time
44,75897,Standard Class,3,Advance shipping
45,75896,Standard Class,2,Advance shipping
46,75895,Standard Class,6,Late delivery
47,75894,Second Class,5,Late delivery
48,75893,Standard Class,4,Shipping on time
49,28744,Second Class,5,Late delivery
50,45461,Second Class,2,Shipping on time
51,31115,Second Class,6,Late delivery
52,45766,Second Class,2,Shipping on time
53,47752,Second Class,3,Late delivery
54,50054,Second Class,5,Late delivery
55,20365,Second Class,6,Late delivery
56,36146,Second Class,2,Shipping on time
57,41234,Second Class,5,Late delivery
58,32090,Second Class,6,Late delivery
59,34773,Second Class,4,Late delivery
60,44046,Second Class,2,Shipping on time
61,46414,Second Class,5,Late delivery
62,46599,Second Class,5,Late delivery
63,48434,Second Class,5,Late delivery
64,12827,Second Class,3,Late delivery
65,63936,Second Class,2,Shipping on time
66,65030,Second Class,6,Late delivery
67,18108,Second Class,4,Late delivery
68,62571,Second Class,2,Shipping on time
69,17162,Second Class,3,Late delivery
70,65922,Second Class,3,Late delivery
71,64813,Second Class,4,Late delivery
72,67892,Second Class,3,Late delivery
73,12525,Second Class,6,Late delivery
74,5895,Second Class,6,Late delivery
75,56359,Second Class,5,Late delivery
76,58613,Second Class,4,Late delivery
77,7824,Second Class,5,Late delivery
78,7814,Second Class,5,Late delivery
79,60807,Second Class,3,Late delivery
80,53413,Second Class,4,Late delivery
81,7888,Second Class,4,Late delivery
82,6783,Second Class,4,Late delivery
83,56973,Second Class,4,Late delivery
84,55155,Second Class,6,Late delivery
85,5991,Second Class,2,Shipping on time
86,2263,Second Class,4,Late delivery
87,53403,Second Class,4,Late delivery
88,51298,Second Class,4,Late delivery
89,4919,Standard Class,5,Late delivery
90,52640,Standard Class,6,Late delivery
91,6358,Standard Class,4,Shipping on time
92,57106,Standard Class,2,Advance shipping
93,6245,Standard Class,6,Late delivery
94,52166,Standard Class,2,Advance shipping
95,56172,Standard Class,3,Advance shipping
96,55829,Standard Class,5,Late delivery
97,52478,Standard Class,4,Shipping on time
98,57242,Standard Class,3,Advance shipping
99,3137,Standard Class,3,Advance shipping
100,60127,Standard Class,3,Advance shipping
101,3828,Standard Class,4,Shipping on time
102,60386,Standard Class,2,Advance shipping
103,973,Standard Class,4,Shipping on time
104,57999,Standard Class,5,Late delivery
105,54585,Standard Class,6,Late delivery
106,57598,Standard Class,4,Shipping on time
107,54274,Standard Class,5,Late delivery
108,60673,Standard Class,4,Shipping on time
109,59387,Standard Class,3,Advance shipping
110,10007,Standard Class,3,Advance shipping
